,,,,,,,,Top Performers,Top Performers,Top Performers,Top Performers,,Playoffs,Playoffs,Playoffs,,,,
Tm,From,To,W,L,T,W-L%,AV,Passer,Rusher,Receiver,Coaching,Yr plyf,W plyf,L plyf,W-L%,Chmp,SBwl,Conf,Div
Pittsburgh Steelers,1945,2018,591,469,15,.557,,,,,,31,36,25,,6,6,8,24
San Francisco 49ers,1946,2018,570,486,16,.540,Rice,Montana,Gore,Rice,Seifert,26,31,21,0.596,5,5,6,20
Seattle Seahawks,1976,2018,344,331,1,.510,Largent,Hasselbeck,Alexander,Largent,Carroll,17,16,16,0.500,1,1,3,10
Tampa Bay Buccaneers,1976,2018,260,415,1,.385,Brooks,Testaverde,Wilder,Evans,Gruden,10,6,9,0.400,1,1,1,6
Tennessee Titans,1960,2018,431,463,6,.482,Matthews,Moon,George,Givins,Fisher,22,15,20,0.429,2,0,1,9
Houston Oilers,1960,1996,251,291,6,.463,,,,,,15,9,13,,2,0,0,6
Tennessee Oilers,1997,1998,16,16,0,.500,,,,,,0,0,0,,0,0,0,0
Tennessee Titans,1999,2018,164,156,0,.513,,,,,,7,6,7,,0,0,1,3
Washington Redskins,1932,2018,600,590,28,.504,Green,Theismann,Riggins,Monk,Gibbs,24,23,19,0.548,5,3,5,15
Boston Braves,1932,1932,4,4,2,.500,,,,,,0,0,0,,0,0,0,0
Boston Redskins,1933,1936,20,24,3,.455,,,,,,1,0,1,,0,0,0,1
Washington Redskins,1937,2018,576,562,23,.506,,,,,,23,23,18,,5,3,5,14
